Ind	Lon	Lat
Bgla_1	24.8276	35.2564
Bgla_2	22.216	37.933
Bgla_3	20.645	38.46
Bspry_1	38.8184	45.11107
Bsyl_1	10.9	48.2
Bsyl_2	9.3	48
Bsyl_3	8.6	48.4
Bsyl_4	11.7	54
Bsyl_5	13.8	51.6
Bsyl_6	8.5	47.8
Bsyl_7	10.1	54.3
Bsyl_8	6.4	51.4
Bsyl_9	14	51
Bsyl_10	9.5	50.6
Bsyl_11	12	48.9
Bsyl_12	9.3	54.5
Bsyl_13	9.8	51.2
Bsyl_14	8.7	51.1
Bsyl_15	7.9	48.3
Bsyl_16	11.6	52.6
Bsyl_17	10.5	53.7
Bsyl_18	10.8	51.7
Bsyl_19	12.4	52.9
Bsyl_20	7.3	52.8
Bsyl_21	13.4	52.4
Bsyl_22	9.7	53.4
Bsyl_23	9.5	48.8
Bsyl_24	12	50.2
Bsyl_25	9.6	53.9
Bsyl_26	9.1	52.2
Bsyl_27	11.4	50.6
Bsyl_28	7.3	51.7
Bsyl_29	7.2	50.9
Bsyl_30	13.4	50.7
Bsyl_31	10.7	53.1
Bsyl_32	8.5	52.5
Bsyl_33	12.8	49.1
Bsyl_34	8.3	50.6
Bsyl_35	0.7	52.5
Bsyl_36	1.6	52.5
Bsyl_37	36.3	50.1
Bsyl_38	35.4	52.3
Bsyl_39	-2.1	54.9
Bsyl_40	6.1	43.8
Bsyl_41	7.6	44
Bsyl_42	7	43.6
Bsyl_43	5.8	44.3
Bsyl_44	5.7	43.3
Bsyl_45	5.8	44.9
Bsyl_46	5.2	44.6
Bsyl_47	6.9	45.6
Bsyl_48	5.2	46.2
Bsyl_49	-4.1	58
Bsyl_50	-6.4	57.5
Bsyl_51	-4	54.9
Bsyl_52	-2.6	56.8
Bsyl_53	-5.2	55.7
Bsyl_54	-4.9	54.7
Bsyl_55	11.9	49.5
Bsyl_56	12.6	47.8
Bsyl_57	11.1	49
Bsyl_58	11.9	47.7
Bsyl_59	13.6	48.6
Bsyl_60	9.1	50.1
Bsyl_61	11.2	50.1
Bsyl_62	11.7	48.3
Bsyl_63	17	57.2
Bsyl_64	16.6	56.6
Bsyl_65	-1.2	53.4
Bsyl_66	13.1	47.2
Bsyl_67	13.2	48
Bsyl_68	13.8	47.8
Bsyl_69	12.3	47.3
Bsyl_70	13.9	47.1
Bsyl_71	6.9	61.1
Bsyl_72	9.5	59.3
Bsyl_73	-5.7	57.2
Bsyl_74	-3.3	55.8
Bsyl_75	56.3	53.2
Bsyl_76	40.6	52.8
Bsyl_77	48.4	54.6
Bsyl_78	44.9	50.5
Bsyl_79	41.5	43
Bsyl_80	37.2	54
Bsyl_81	16.3	48.2
Bsyl_82	21.6	48.7
Bsyl_83	4	40
Bsyl_84	47	39.6
Bsyl_85	12.6	49.6
Bsyl_86	-0.6	44.1
Bsyl_87	6.2	52
Bsyl_88	3.5	51.6
Bsyl_89	-2.5	51.4
Bsyl_90	12.5	55
Bsyl_91	11.4	55.8
Bsyl_92	11.6	54.8
Bsyl_93	10.7	54.9
Bsyl_94	56.6	54.5
Bsyl_95	33.5	52.8
Bsyl_96	34.6	53.2
Bsyl_97	17.2	52.6
Bsyl_98	9.1	45.2
Bsyl_99	12.8	46.8
Bsyl_100	5.9	51
Bsyl_101	-6.4	55.7
Bsyl_102	-5.3	58.2
Bsyl_103	-2.3	55.9
Bsyl_104	0.7	44.2
Bsyl_105	0.2	44.5
Bsyl_106	6.5	62.4
Bsyl_107	2.8	39.4
Bsyl_108	3.1	39.8
Bsyl_109	-2.1	52.3
Bsyl_110	34.4	44.7
Bsyl_111	58.4	55.1
Bsyl_112	40.8	45.4
Bsyl_113	31.7	55.5
Bsyl_114	37.5	55.9
Bsyl_115	41.5	52.7
Bsyl_116	45.9	56
Bsyl_117	10.2	49.4
Bsyl_118	-4.1	50.4
Bsyl_119	0.6	51.7
Bsyl_120	-4.5	52.1
Bsyl_121	0.2	53.2
Bsyl_122	-3.5	51.2
Bsyl_123	1.4	51.2
Bsyl_124	-1.8	54.4
Bsyl_125	-3.1	54.2
Bsyl_126	-4.5	51
Bsyl_127	-5.4	50.1
Bsyl_128	-1.2	50.6
Bsyl_129	-0.8	51.7
Bsyl_130	-6.4	55.2
Bsyl_131	25.6	58.4
Bsyl_132	26.8	58.9
Bsyl_133	26.6	57.6
Bsyl_134	-1.4	43.8
Bsyl_135	45.3	55.5
Bsyl_136	44.8	41.9
Bsyl_137	40.4	48.7
Bsyl_138	4.9	45.3
Bsyl_139	5.5	45.7
Bsyl_140	38.3	54.9
Bsyl_141	-5.4	33.3
Bsyl_142	7.8	47.5
Bsyl_143	7.2	46.1
Bsyl_144	8.5	46.4
Bsyl_145	8.6	47.1
Bsyl_146	9	46
Bsyl_147	7.9	46.2
Bsyl_148	9.4	47.5
Bsyl_149	7.2	47.3
Bsyl_150	7.2	46.7
Bsyl_151	15.5	57.3
Bsyl_152	16.3	59
Bsyl_153	6	52.5
Bsyl_154	4.6	52.5
Bsyl_155	6.4	49.7
Bsyl_156	3.2	45.4
Bsyl_157	-4.2	47.9
Bsyl_158	0.5	43.2
Bsyl_159	5.4	48
Bsyl_160	-0.3	47.5
Bsyl_161	-1.5	47.8
Bsyl_162	2.1	49.2
Bsyl_163	6	46.1
Bsyl_164	-1	46.7
Bsyl_165	-1.5	48.3
Bsyl_166	2.8	48.3
Bsyl_167	1.8	44.9
Bsyl_168	1.7	50.3
Bsyl_169	3.7	47.4
Bsyl_170	-1.4	47.1
Bsyl_171	1.4	45.3
Bsyl_172	1.4	48.9
Bsyl_173	2.9	49.6
Bsyl_174	5.4	43.8
Bsyl_175	-1.4	49
Bsyl_176	4.7	45.9
Bsyl_177	2.3	46.4
Bsyl_178	4.7	48.5
Bsyl_179	-0.1	42.9
Bsyl_180	4.6	46.5
Bsyl_181	1	46.1
Bsyl_182	2.7	50.7
Bsyl_183	2.1	42.6
Bsyl_184	-1.9	46.8
Bsyl_185	2.9	43
Bsyl_186	0.4	47.3
Bsyl_187	-2.2	48.1
Bsyl_188	1.3	43.6
Bsyl_189	3.4	43.4
Bsyl_190	1.7	44.1
Bsyl_191	-0.4	39.5
Bsyl_192	0.3	48
Bsyl_193	25.9	38.5
Bsyl_194	22.5	40.1
Bsyl_195	17.5	48.4
Bsyl_196	44.7	37.5
Bsyl_197	36	41.5
Bsyl_198	24.5	36.7
Bsyl_199	22.4	36.5
Bsyl_200	26.3	39.2
Bsyl_201	23.9	35.4
Bsyl_202	26	37.6
Bsyl_203	24.5	37.2
Bsyl_204	24.1	37.9
Bsyl_205	26.4	36.5
Bsyl_206	25	37.6
Bsyl_207	26.6	37.7
Bsyl_208	25.5	37.1
Bsyl_209	26.2	41.4
Bsyl_210	21.9	38
Bsyl_211	20.8	39.4
Bsyl_212	26.1	35.2
Bsyl_213	20.8	38.2
Bsyl_214	15.4	56.4
Bsyl_215	24.7	38
Bsyl_216	14.6	50
Bsyl_217	6.6	53.2
Bsyl_218	10.1	47.5
Bsyl_219	10.2	48
Bsyl_220	10	49.9
Bsyl_221	10.4	48.6
Bsyl_222	11.2	49.6
Bsyl_223	11.2	47.4
Bsyl_224	4.4	47.2
Bsyl_225	1.9	45.9
Bsyl_226	-4.7	48.6
Bsyl_227	2.4	45.4
Bsyl_228	3.6	45
Bsyl_229	2.3	43.4
Bsyl_230	-3.9	56.8
Bsyl_231	-3.5	57.3
Bsyl_232	-4.4	58.6
Bsyl_233	0.7	45
Bsyl_234	1.3	49.8
Bsyl_235	1.9	48.4
Bsyl_236	2.8	45.8
Bsyl_237	9.6	46.3
Bsyl_238	0.6	41.5
Bsyl_239	0.9	41.9
Bsyl_240	3.2	42.3
Bsyl_241	1.2	41.5
Bsyl_242	2.9	41.7
Bsyl_243	0.3	40.7
Bsyl_244	0.6	42.6
Bsyl_245	2.4	42
Bsyl_246	1.6	42
Bsyl_247	1.4	42.5
Bsyl_248	2.2	41.4
Bsyl_249	-5.2	51.7
Bsyl_250	-4.2	51.6
Bsyl_251	1.5	47.4
Bsyl_252	2.9	46.9
Bsyl_253	4.3	47.9
Bsyl_254	0.8	47.7
Bsyl_255	4.6	49.7
Bsyl_256	4.1	46.2
Bsyl_257	9.9	55.9
Bsyl_258	9.9	55.4
Bsyl_259	9.9	54.9
