Ind	Lat	Lon	Bio1	Bio2	Bio3	Bio4	Bio5	Bio6	Bio7	Bio8	Bio9	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
Bbrev33H	68.9966984	30.3593034	18.44166756	13.78600025	38.65089035	818.2210083	35.38000107	-0.287999988	35.66799927	27.67066574	19.07600021	27.67066574	7.61533308	249	51	5	68.2829361	107	17	107	49
Bbrev34H	83.4651865	31.7950279	-7.563666821	13.22399998	38.21965408	800.6743164	9.008000374	-25.59199905	34.59999847	2.098666668	-8.558667183	2.367333412	-17.08600044	101	28	2	95.2483902	64	8	60	15
Bglaucovirens	24.8276	35.256039	12.94233322	7.398666382	31.75938797	605.0354004	26.01199913	2.71600008	23.29599953	5.933333397	20.54466629	20.54466629	5.933333397	1034	211	3	83.0854187	544	23	23	544
Bkurilense	147.7974261	45.0634033	2.778666735	5.075333118	18.93215942	776.2642822	16.68000031	-10.12800026	26.80800056	11.15333366	-6.81400013	12.33933353	-6.81400013	1163	164	54	35.27729797	434	190	364	190
Bmis66_3	139.0461341	35.4008587	13.22849941	8.905666351	29.52807236	755.6876831	28.12400055	-2.036000013	30.15999985	20.08333397	4.118000031	22.57600021	4.118000031	1590	220	45	48.06811905	606	155	603	155
Bmis66-4	139.0461341	35.4008587	13.22849941	8.905666351	29.52807236	755.6876831	28.12400055	-2.036000013	30.15999985	20.08333397	4.118000031	22.57600021	4.118000031	1590	220	45	48.06811905	606	155	603	155
Bmis67_1	140.6040253	38.3147067	9.825833321	7.504333019	24.36471748	869.3679199	26.30400085	-4.495999813	30.80000114	20.53866768	-0.410666615	20.53866768	-0.470666677	1311	175	68	37.16733551	509	211	509	216
Bmis67	140.6040253	38.3147067	9.825833321	7.504333019	24.36471748	869.3679199	26.30400085	-4.495999813	30.80000114	20.53866768	-0.410666615	20.53866768	-0.470666677	1311	175	68	37.16733551	509	211	509	216
Bspryginii	38.9121673	45.079774	11.72399998	9.99600029	30.52772903	865.4641113	29.25200081	-3.492000103	32.74399948	2.741333246	17.54400063	22.39599991	1.121333241	727	80	46	17.57732964	218	155	185	198
Bsyl29H	21.6867834	38.9884836	13.31400013	10.50866604	36.15200806	683.8116455	29.59600067	0.527999997	29.06800079	6.696666718	21.86400032	21.86400032	5.198666573	800	118	21	52.47424698	321	68	68	297
Bsyl30H	11.7771829	55.4891768	8.553500175	4.759666443	21.48639679	665.5628052	20.76799965	-1.383999944	22.15200043	16.19733429	3.149333239	16.99200058	0.734666646	615	65	33	20.28946114	181	110	176	142
Bsyl31H	9.4095663	48.2152979	6.892833233	8.30166626	32.18698502	666.3569336	20.95999908	-4.832000256	25.79199982	15.09466648	-0.164000034	15.09466648	-1.20933342	913	114	56	25.35217476	310	172	310	179
Bsyl32H	36.1159851	54.5358037	5.203000069	8.329999924	24.4913559	973.0371704	23.10000038	-10.9119997	34.01200104	16.97733307	-5.565333366	16.97733307	-6.840000153	618	82	31	31.56601143	224	100	224	115
Bsyl35H	21.9365951	38.0184438	11.66416645	10.59233379	37.95991135	650.3114014	27.68000031	-0.224000007	27.90400124	5.626666546	19.90266609	19.90266609	4.170000076	841	131	20	58.87649918	367	64	64	345
Bsyl36H	47.7702161	33.515259	17.35549927	16.01366615	39.94229889	894.7109375	39.78800201	-0.30399999	40.09200287	7.560666561	27.97266769	28.51466751	6.544666767	446	85	0	86.17609406	222	1	3	211
Bsyl37H	50.1270853	35.1792812	9.545999527	13.09399986	32.92597198	969.8219604	30.79599953	-8.972000122	39.76799774	2.961333275	20.78466606	21.37266731	-2.690000057	235	47	0	77.96592712	116	3	8	85
Bsyl38H	36.202518	36.8337611	19.66366768	9.145999908	34.87112808	663.2817383	32.86800003	6.639999866	26.22800064	11.45400047	27.28866768	27.69666672	11.45400047	833	120	12	54.63122559	330	54	61	330
Bsyl39H	36.2909895	41.2818196	13.33733368	7.500666618	31.33110619	623.2554321	26.13199997	2.191999912	23.94000053	11.03133297	21.20999908	21.20999908	6.206666946	675	82	31	27.61940002	233	113	113	164
Bsyl41H	69.2970641	34.4844853	12.55616665	14.00300026	34.33791351	977.8638306	32.83599854	-7.944000244	40.77999878	6.957999706	19.41266632	24.26666641	-0.182666659	365	82	5	89.74729919	219	21	23	132
Bsyl466-13	-0.241929	42.244937	12.60816669	10.44766617	36.41316986	653.5010376	29.36800003	0.675999999	28.69199944	13.37800026	21.02199936	21.02199936	5.145999908	628	71	26	23.84252357	186	126	126	149
Bsyl466-2	-0.241929	42.244937	12.60816669	10.44766617	36.41316986	653.5010376	29.36800003	0.675999999	28.69199944	13.37800026	21.02199936	21.02199936	5.145999908	628	71	26	23.84252357	186	126	126	149
Bsyl466-7b	-0.241929	42.244937	12.60816669	10.44766617	36.41316986	653.5010376	29.36800003	0.675999999	28.69199944	13.37800026	21.02199936	21.02199936	5.145999908	628	71	26	23.84252357	186	126	126	149
Bsyl467-10	-0.11825001	42.0608583	14.61133289	11.02199936	36.09037399	698.1072388	32.27199936	1.731999993	30.53999901	15.43599987	7.783333302	23.50933266	6.440000057	519	61	20	26.61970329	159	102	105	113
Bsyl467-2	-0.11825001	42.0608583	14.61133289	11.02199936	36.09037399	698.1072388	32.27199936	1.731999993	30.53999901	15.43599987	7.783333302	23.50933266	6.440000057	519	61	20	26.61970329	159	102	105	113
Bsyl467-7	-0.11825001	42.0608583	14.61133289	11.02199936	36.09037399	698.1072388	32.27199936	1.731999993	30.53999901	15.43599987	7.783333302	23.50933266	6.440000057	519	61	20	26.61970329	159	102	105	113
Bsyl467-9b	-0.11825001	42.0608583	14.61133289	11.02199936	36.09037399	698.1072388	32.27199936	1.731999993	30.53999901	15.43599987	7.783333302	23.50933266	6.440000057	519	61	20	26.61970329	159	102	105	113
Bsyl470-10	-1.974330556	43.3156611	14.31979179	7.694582939	40.27523041	432.0037537	24.38500023	5.28000021	19.10499954	12.45750046	19.54416656	19.87166595	9.396666527	1271	148	66	22.6535511	399	229	248	347
Bsyl470-4	-1.974330556	43.3156611	14.31979179	7.694582939	40.27523041	432.0037537	24.38500023	5.28000021	19.10499954	12.45750046	19.54416656	19.87166595	9.396666527	1271	148	66	22.6535511	399	229	248	347
Bsyl470-8b	-1.974330556	43.3156611	14.31979179	7.694582939	40.27523041	432.0037537	24.38500023	5.28000021	19.10499954	12.45750046	19.54416656	19.87166595	9.396666527	1271	148	66	22.6535511	399	229	248	347
Bsyl470-9	-1.974330556	43.3156611	14.31979179	7.694582939	40.27523041	432.0037537	24.38500023	5.28000021	19.10499954	12.45750046	19.54416656	19.87166595	9.396666527	1271	148	66	22.6535511	399	229	248	347
Bsyl476-10	-0.62285	43.0325389	11.84150028	8.974333763	39.87883759	495.1044617	24.73600006	2.232000113	22.50399971	7.039999962	18.3706665	18.3706665	6.415333271	1004	107	56	19.27197266	301	186	186	281
Bsyl476-11	-0.62285	43.0325389	11.84150028	8.974333763	39.87883759	495.1044617	24.73600006	2.232000113	22.50399971	7.039999962	18.3706665	18.3706665	6.415333271	1004	107	56	19.27197266	301	186	186	281
Bsyl476-14	-0.62285	43.0325389	11.84150028	8.974333763	39.87883759	495.1044617	24.73600006	2.232000113	22.50399971	7.039999962	18.3706665	18.3706665	6.415333271	1004	107	56	19.27197266	301	186	186	281
Bsyl476-9	-0.62285	43.0325389	11.84150028	8.974333763	39.87883759	495.1044617	24.73600006	2.232000113	22.50399971	7.039999962	18.3706665	18.3706665	6.415333271	1004	107	56	19.27197266	301	186	186	281
Bsyl477-10	0.717812	42.832489	8.40083313	9.696332932	37.3625679	585.0101929	23.15200043	-2.799999952	25.95199966	5.659333229	15.97399998	15.97399998	1.771999955	1159	118	69	14.10822487	325	248	248	283
Bsyl477-11	0.717812	42.832489	8.40083313	9.696332932	37.3625679	585.0101929	23.15200043	-2.799999952	25.95199966	5.659333229	15.97399998	15.97399998	1.771999955	1159	118	69	14.10822487	325	248	248	283
Bsyl477-1	0.717812	42.832489	8.40083313	9.696332932	37.3625679	585.0101929	23.15200043	-2.799999952	25.95199966	5.659333229	15.97399998	15.97399998	1.771999955	1159	118	69	14.10822487	325	248	248	283
Bsyl477-3	0.717812	42.832489	8.40083313	9.696332932	37.3625679	585.0101929	23.15200043	-2.799999952	25.95199966	5.659333229	15.97399998	15.97399998	1.771999955	1159	118	69	14.10822487	325	248	248	283
Bsyl500-2	5.740515	43.338138	12.52633286	8.951333046	36.11738968	580.1046753	26.58799934	1.80400002	24.78399849	9.572667122	19.9766655	19.9766655	5.978000164	751	108	15	37.30505371	262	97	97	214
Bsyl500-3	5.740515	43.338138	12.52633286	8.951333046	36.11738968	580.1046753	26.58799934	1.80400002	24.78399849	9.572667122	19.9766655	19.9766655	5.978000164	751	108	15	37.30505371	262	97	97	214
Bsyl500-6	5.740515	43.338138	12.52633286	8.951333046	36.11738968	580.1046753	26.58799934	1.80400002	24.78399849	9.572667122	19.9766655	19.9766655	5.978000164	751	108	15	37.30505371	262	97	97	214
Bsyl501-1	7.036268	43.664392	14.23466682	7.873333454	33.90171051	559.3049927	26.70400047	3.480000019	23.22400093	11.41600037	21.34199905	21.38666725	7.902666569	847	133	17	43.48180008	325	97	129	248
Bsyl501-5	7.036268	43.664392	14.23466682	7.873333454	33.90171051	559.3049927	26.70400047	3.480000019	23.22400093	11.41600037	21.34199905	21.38666725	7.902666569	847	133	17	43.48180008	325	97	129	248
